id,masterTopic,originalTopic,exam,examYear,question
13403,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Jamadar Grade II Exam 2025,2025,आज की दिनांक में राजस्थान विभाजित है:
13404,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Deputy Commandant (Home Guard Deptt.) Exam - 2025,2025,राजस्थान के निम्नलिखित संभागों और उनमें स्थित जिलों के सन्दर्भ में कौनसा युग्म सही सुमेलित नहीं है?सम्भाग का नाम - जिलों की संख्या
13405,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Platoon Commander Exam 2025,2025,राजस्थान के निम्नलिखित प्रशासनिक संभागों में से क्षेत्रफल के हिसाब से सबसे बड़ा संभाग कौन-सा है -
13406,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,3rd Grade Teacher 2025 Sanskrit ( L-1 ),2025,राजस्थान का राज्य पक्षी कौनसा है?
13407,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,3rd Grade Teacher 2025 Sanskrit ( L-1 ),2025,किस पेड़ को राजस्थान का “कल्प वृक्ष” कहा जाता है?
13408,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,3rd Grade Teacher 2025 Sanskrit ( L-1 ),2025,सूची I को सूची II से सुमेलित करे: सूची I (शुभंकर)सूची II (ज़िला)a. महान भारतीय गोडावणI. हनुमानगढ़b. सारस क्रेनII. जैसलमेरc. छोटा किलकिलाIII. भरतपुरd. खड़मौर पक्षीIV. अजमेरनीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर चुनें:
13409,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,3rd Grade Teacher 2025 Science-Maths (L-2 ),2025,सूची-I को सूची-II से सुमेलित करें: सूची-I प्राणी प्रतीकसूची-II जिला(a) खरमोर पक्षी(i) बाड़मेर(b) सांभर हिरण(ii) भीलवाड़ा(c) लोमड़ी(iii) अजमेर(d) मोर(iv) अलवरनीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर चुनें:
13410,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Platoon Commander Exam 2025,2025,सूची I को सूची II से सुमेलित करें-सूची I (राजस्थान में पशु शुभंकर)सूची II (ज़िला)a. लोमड़ीI. भीलवाड़ाb. सांभर हिरणII. बाड़मेरc. मोरIII. सवाई माधोपुरd. बाघIV. अलवरनीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर चुनें:
13411,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,RSSB Fourth Class Exam 2024 (19 Sep. 2025 1st Shift),2025,निम्नलिखित में से कौन-सा फूल राजस्थान का ‘राज्य पुष्प’ कहलाता है -
13412,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,RSSB Fourth Class Exam 2024 (20 Sep. 2025 2nd Shift),2025,"उदयपुर, चित्तौड़गढ़, राजसमंद और डूंगरपुर राजस्थान के निम्नलिखित में से किस क्षेत्र का हिस्सा है -निम्नलिखित विकल्पों में से सबसे उपयुक्त उत्तर चुनें:"
13413,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,RSSB Fourth Class Exam 2024 (19 Sep. 2025 1st Shift),2025,"राजस्थान के किस शहर को, ‘घंटियों का शहर’ भी कहा जाता है -"
13414,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Rajasthan Patwar Exam 2025 1st Shift,2025,निम्नलिखित में से कौन सा स्थान राजस्थान के खजुराहो के नाम से प्रसिद्ध है -
13415,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,3rd Grade Teacher 2025 Sanskrit ( L-2 ),2025,राजस्थान के निम्नलिखित में से कौन-से ज़िले पाकिस्तान अंतर्राष्ट्रीय सीमा को छूते हैं?a. जोधपुर b. बीकानेरc. जैसलमेर d. श्री गंगानगरनीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर चुनें:
13416,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,3rd Grade Teacher 2025 Science-Maths (L-2 ),2025,सूची-I को सूची-II से सुमेलित करें: सूची-I (जिला)सूची-II (सीमा)(a) जालोर(i) उत्तर प्रदेश(b) श्री गंगानगर(ii) गुजरात(c) भरतपुर(iii) मध्य प्रदेश(d) बाँसवाड़ा(iv) पंजाबनीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर चुनें:
13417,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,RSSB Fourth Class Exam 2024 (21 Sep. 2025 2nd Shift),2025,निम्नलिखित में से राजस्थान का कौन-सा क्षेत्र हरियाणा से अपनी सीमा साझा नहीं करता है - (निम्न में से सबसे उपयुक्त विकल्प चुनें)
13418,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,RSSB Fourth Class Exam 2024 (21 Sep. 2025 2nd Shift),2025,निम्नलिखित में से राजस्थान का कौन-सा स्थान अंतर्राष्ट्रीय सीमा के सबसे करीब है -
13420,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,RSSB Fourth Class Exam 2024 (20 Sep. 2025 2nd Shift),2025,"राजस्थान का, निम्नलिखित में से कौन-सा जिला पाकिस्तान के साथ सीमा साझा नहीं करता है -"
13421,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,RSSB Fourth Class Exam 2024 (20 Sep. 2025 2nd Shift),2025,राजस्थान अपनी सीमा निम्नलिखित में से किस राज्य/संघ राज्य-क्षेत्र के साथ साझा करता है -
13422,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,RSSB Fourth Class Exam 2024 (20 Sep. 2025 1st Shift),2025,"राजस्थान का निम्नलिखित में से कौन-सा क्षेत्र, अंतर्राष्ट्रीय सीमा पर स्थित है -"
13423,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,RSSB Fourth Class Exam 2024 (19 Sep. 2025 2nd Shift),2025,भारत का कौन-सा निम्नलिखित राज्य राजस्थान के साथ अपनी सीमा साझा नहीं करता है -
13424,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,RSSB Fourth Class Exam 2024 (19 Sep. 2025 2nd Shift),2025,राजस्थान और पाकिस्तान को विभाजित करने वाली सीमा रेखा का नाम क्या है -
13425,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,RSSB Fourth Class Exam 2024 (19 Sep. 2025 1st Shift),2025,राजस्थान और पाकिस्तान के बीच अंतर्राष्ट्रीय सीमा की कुल लंबाई लगभग है:
13426,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Librarian Grade III 2024 (Paper 1),2024,राजस्थान में क्षेत्रफल की दृष्टि से सबसे बड़ा ज़िला कौन सा है -निम्नलिखित विकल्पों में से सबसे उपयुक्त उत्तर चुनें:
13427,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,PTI and Librarian (Sanskrit College Edu.) - 2024 (General Studies of Rajasthan),2024,"राजस्थान में नए जिलों के निर्माण से संबंधित, निम्नलिखित में से कौनसा समूह समयानुक्रम के अनुसार सही है -"
13428,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Rajasthan Police Constable Exam 2024 ( SHIFT - L1),2024,उत्तर - दक्षिण विस्तार वाला जिला कौन सा है -
13429,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Rajasthan Police Constable Exam 2024 ( SHIFT - K1),2024,क्षेत्रफल के हिसाब से राज्य का सबसे बड़ा जिला कौन सा है -
13430,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,REET‐2024 LEVEL‐1 (Math&Env. Studies),2024,राजस्थान का राज्य पुष्प कौन-सा है -
13431,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Prahari 2024 Shift 2,2024,निम्नलिखित में से किस पेड़ को ‘थार का कल्पवृक्ष’ कहा जाता है -
13432,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor (COPA) Exam 2024,2024,कॉलम I में ज़िला को कॉलम II में वन्यजीव शुभंकर से मिलान कीजिए।कॉलम I (ज़िला)कॉलम II (वन्यजीव शुभंकर)1. डूंगरपुरa. भट्टतीतर2. बीकानेरb. जांघिल3. टोंकc. सांभर4. अलवर d. हंसनिम्न में से सबसे उपयुक्त विकल्प चुनें:
13433,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor (COPA) Exam 2024,2024,निम्नलिखित में से कौन-सा राजस्थान के मरुस्थल का “कल्प वृक्ष” कहा जाता है -
13434,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,CET 2024 (12th Level) 23 October Shift-II,2024,निम्नलिखित में से कौनसा राजस्थान का राज्य वृक्ष है -
13435,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,CET 2024 (12th Level) 22 October Shift-II,2024,निम्नलिखित में से कौन सा राजस्थान का राज्य पुष्प है और एक इमारती लकड़ी प्रदान करने वाला वृक्ष भी है -
13436,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,CET 2024 (Graduate) 27 September 2024 Shift-1,2024,राजस्थान का राज्य पक्षी कौन सा है -
13438,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Stenographer Exam 2024 (Paper - I),2024,निम्नलिखित में से कौन सा पेड़ “थार का कल्पवृक्ष” है -
13439,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Asst. Prof. (Sanskrit College Edu.) - 2024 (Rajasthan Gk),2024,"आम लोगों के वन्यजीव के प्रति जागरुकता हेतु वन विभाग, राजस्थान के द्वारा जालौर जिले के लिए निम्नलिखित में से कौनसा शुभंकर निर्धारित किया गया -"
13440,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Rajasthan Police Constable Exam 2024 ( SHIFT - L1),2024,राजस्थान का राज्य पक्षी क्या है -
13441,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,वाहन चालक सीधी भर्ती-2024,2024,सूची I के साथ सूची II का मिलान कीजिए: सूची I (शहर)सूची II (प्रसिद्धि का कारण)a. बांसवाड़ाI. ग्रेनाइट शहरb. भीलवाड़ाII. दुर्गों और हवेलियों का शहरc. जालौरIII. स्वर्णिम द्वीपों का शहरd. जैसलमेरIV. वस्त्र/परिधान शहरनीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर का चयन कीजिए:
13442,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,परिचालक सीधी भर्ती-2024,2024,राजस्थान का निम्नलिखित में से कौन-सा शहर “अहिच्छत्रपुर” के नाम से जाना जाता था -
13443,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor (PLM) Exam 2024,2024,"राजस्थान का वह ज़िला जो ‘सौ द्वीपों का क्षेत्र’ कहलाता है, वह है -"
13444,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor (ICTSM) Exam 2024,2024,उत्तर-पूर्वी राजस्थान को ‘मेवात’ की संज्ञा सर्वप्रथम किस फारसी लेखक द्वारा दी गई -
13445,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor (Wireman) Exam 2024,2024,निम्नलिखित में से कौन-से ज़िले राजस्थान के “वागड़ क्षेत्र” में स्थित हैं - (निम्न में से सबसे उपयुक्त विकल्प चुनें)
13446,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor (MDE) Exam 2024,2024,किस क्षेत्र का पुराना नाम (माड / मड़) था -
13447,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,CET 2024 (12th Level) 24 October Shift-I,2024,जैसलमेर का प्राचीन नाम क्या था -
13448,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,CET 2024 (12th Level) 22 October Shift-II,2024,"____ जिसे पहले मारु कहा जाता था, फिर मरुवारा और बाद में मारवाड़ कहाँ जाने लगा: -निम्न में से सबसे उपयुक्त विकल्प चुनें।"
13449,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,CET 2024 (12th Level) 22 October Shift-II,2024,राजस्थान का कौन सा शहर परिधानों के शहर (सिटी ऑफ गारमैंट्स) के नाम से जाना जाता है -
13450,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Rajasthan Police Constable Exam 2024 ( SHIFT - K2),2024,नाथद्वारा का मौलिक नाम क्या था -
13451,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,परिचालक सीधी भर्ती-2024,2024,निम्नलिखित में से कौन-से राज्य राजस्थान के उत्तर-पूर्व में स्थित है -
13452,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Librarian Grade III 2024 (Paper 1),2024,राजस्थान राज्य की पाकिस्तान के साथ पश्चिमी अंतरराष्ट्रीय सीमा की लंबाई कितनी है (किलोमीटर में) -
13453,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Prahari 2024 Shift 1,2024,राजस्थान के उत्तर में दो राज्य हैं: नीचे दिए गए विकल्पों में से सबसे उपयुक्त उत्तर चुनें।
13454,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Prahari 2024 Shift 1,2024,पाकिस्तान के साथ राजस्थान की पश्चिमी सीमा को _____ के नाम से जाना जाता है।
13455,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor (SWT) Exam 2024,2024,राजस्थान का निम्नलिखित ज़िलों में कौन-सा भारत-पाकिस्तान अन्तर्राष्ट्रीय सीमा के सहारे स्थित नहीं है -
13456,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor (ICTSM) Exam 2024,2024,"निम्न में से किस एक राज्य की सीमा, पाकिस्तान की अंतर्राष्ट्रीय सीमा से मिलती है -"
13457,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor (EM) Exam 2024,2024,कितने भारतीय राज्यों की सीमा राजस्थान से सटी हुई है -
13458,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor (COPA) Exam 2024,2024,राजस्थान और पाकिस्तान के बीच की 1070 किमी लंबी अंतर्राष्ट्रीय सीमा ____ कहलाती है।
13459,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor (COPA) Exam 2024,2024,निम्नलिखित में से कौन-सा राज्य राजस्थान से सबसे बड़ी अन्तर्राज्यीय सीमा बनाता है -
13460,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor (Wireman) Exam 2024,2024,निम्नलिखित में से राजस्थान का कौन-सा ज़िला करौली ज़िले के साथ सीमा रखता है - (निम्न में से सबसे उपयुक्त विकल्प चुनें)
13461,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Instructor ((ESR) Exam 2024,2024,राजस्थान की पश्चिमी सीमा जो पाकिस्तान से सटी है उस पर निम्नलिखित में से कौन-से ज़िले स्थित हैं -
13462,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,CET 2024 (12th Level) 24 October Shift-II,2024,निम्नलिखित में से राजस्थान का कौनसा भौगोलिक क्षेत्र हरियाणा राज्य के साथ अपनी सीमा साझा नहीं करता है -
13463,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Stenographer Exam 2024 (Paper - I),2024,निम्नलिखित में से राजस्थान का कौन सा भौगोलिक क्षेत्र अपनी सीमा को मध्य प्रदेश से साझा करता है?
13464,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Rajasthan Police Constable Exam 2024 ( SHIFT - L2),2024,राजस्थान में निम्नलिखित में से कौन सा शहर पाकिस्तानी सीमा के सबसे निकट है -
13465,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Rajasthan Police Constable Exam 2024 ( SHIFT - L2),2024,हरियाणा का कौन सा एक नवगठित जिला है जिसकी सीमाएं राजस्थान को छूती हैं -
13466,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Rajasthan Police Constable Exam 2024 ( SHIFT - L2),2024,राजस्थान की स्थलीय सीमा की लम्बाई क्या है -
13467,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Rajasthan Police Constable Exam 2024 ( SHIFT - L1),2024,"राजस्थान की अंतर्राष्ट्रीय सीमा पर स्थित चार जिलों (गंगानगर, बीकानेर, जैसलमेर, बाड़मेर) में से किसकी सीमा सबसे लंबी है -"
13468,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Rajasthan Police Constable Exam 2024 ( SHIFT - L1),2024,"समीपस्थ राज्य का जिला जो सीधे राजस्थान से सम्बंधित नहीं है, वह क्या है -"
13469,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Rajasthan Police Constable Exam 2024 ( SHIFT - K1),2024,पाकिस्तान के साथ राजस्थान की अंतर्राष्ट्रीय सीमा रेखा को क्या कहा जाता है -
13470,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 1 Shift II),2023,निम्नलिखित में कौन-सा क्षेत्र राजस्थान के सबसे दक्षिणी भाग में स्थित है -निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:
13471,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,High Court LDC 2022 (19 March 2023),2023,क्षेत्रफल की दृष्टि से सबसे बड़ा जिला कौनसा है -
13472,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 3 Shift I),2023,राजस्थान के राज्य पशु है: निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:
13473,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 2 Shift II),2023,राजस्थान के राज्य पक्षी का नाम बताइए।निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:
13474,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 1 Shift I),2023,राजस्थान के थार मरुस्थल में अत्यधिक उपयोगी होने के कारण इस वृक्ष को मरुस्थल का ‘कल्पवृक्ष’ कहा जाता है।दिये गये विकल्पों में से वृक्ष की पहचान कीजिए।
13475,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Computor Exam 2023,2023,सूची-I के साथ सूची-II का मिलान कीजिए-सूची-I सूची-IIa. राजस्थान का कबीर I. दामोदर लाल व्यासb. राजस्थान की जलपरी II. किशन लाल सोनीc. राजस्थान का लौह पुरुष III. रीमा दत्ताd. राजस्थान का रेल बाबा IV. दादू दयालनीचे दिए गए विकल्पों में से सही उत्तर का चयन कीजिए -
13476,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Accountant & Tehsil Revenue Accountant Exam 2023 (Paper 1),2023,राजस्थान के कौन से शहर को “पूर्व का वेनिस” कहा जाता है -
13477,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Junior Accountant & Tehsil Revenue Accountant Exam 2023 (Paper 1),2023,सूची I के साथ सूची II का मिलान कीजिए: सूची I सूची IIa. राजस्थान का ‘द्रौणाचार्य’ I. लिम्बा रामb. राजस्थान का ‘वाटरमेन’ II. करणसिंहc. राजस्थान का ‘अर्जुन’ III. गोकुलभाई दौलतराम भट्टd. राजस्थान का ‘गाँधी’ IV. राजेन्द्रसिंहनीचे दिए गए विकल्पों में से सही उत्तर का चयन कीजिए:
13478,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,CET 2022 (Graduate) 08 January 2023 Shift-2,2023,ऐतिहासिक स्थल ‘जाबालिपुर’ की आधुनिक पहचान है –
13479,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,CET 2022 (Graduate) 08 January 2023 Shift-2,2023,अधोलिखित में से कौनसा युग्म (प्राचीन अंचल - आधुनिक जिला/जिले) सही सुमेलित नही है -
13480,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 3 Shift II),2023,निम्नलिखित में राजस्थान का कौन-सा क्षेत्र अपनी सीमा अन्य राज्य के साथ साझा करता है -निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:
13481,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 3 Shift II),2023,कितने भारतीय राज्य राजस्थान के साथ अपनी सीमा साझा करते हैं -निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:
13482,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 3 Shift I),2023,निम्नलिखित में राजस्थान का कौन-सा क्षेत्र गुजरात राज्य के साथ अपनी सीमा साझा करता है -निम्नलिखित विकल्पों में से सर्वाधिक उपपुक्त उत्तर चुनें:
13483,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 2 Shift II),2023,उस प्रदेश को चुनिए जो राजस्थान राज्य के साथ अपनी सीमा साझा करता है।निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:
13484,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 2 Shift II),2023,निम्नलिखित में से कौन-सा एक राज्य राजस्थान के साथ अपनी राज्य सीमा साझा नहीं करता है -निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:
13485,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 2 Shift II),2023,निम्नलिखित में से राजस्थान का कौन-सा भीगोलिक क्षेत्र पाकिस्तान के साथ सीमा साझा करता है -निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:
13486,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 2 Shift I),2023,राजस्थान अपनी उत्तर पश्चिमी और पश्चिमी सीमा किस देश के साथ साझा करता है -निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:
13487,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 1 Shift II),2023,निम्नलिखित में राजस्थान का कौन-सा क्षेत्र पाकिस्तान के साथ अपनी सीमा साझा करता है -निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:
13488,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Animal Attendant 2023 Exam (December 1 Shift I),2023,निम्नलिखित में से कौन-सा राज्य रजिस्थान के साथ अपनी सीमा साझा नहीं करता है -निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:
13489,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,CET 2022 (12th Level) 05 February 2023 Shift-1,2023,राज्य के कौन से जिले अन्तर्राष्ट्रीय सीमा पर दक्षिण से उत्तर की ओर स्थित हैं -
13490,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,High Court LDC 2022 (19 March 2023),2023,अरावली जिला निम्न में से किस राज्य में स्थित है -
13491,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,High Court LDC 2022 (12 March 2023),2023,निम्न में से ऐसा कौनसा जिला है जो चार राज्यों की सीमा को छूता है -
13492,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,CET 2022 (Graduate) 08 January 2023 Shift-2,2023,राजस्थान के निम्नलिखित जिलों को उत्तर से दक्षिण की ओर सही क्रम में व्यवस्थित करें -(i) श्रीगंगानगर(ii) जालौर(iii) जोधपुर(iv) बीकानेरकूट -
13493,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,School Lecturer 2022 Gk (Group D),2022,राजस्थान का कौनसा संभाग राज्य में सर्वाधिक क्षेत्रफल घेरता है -
13494,राजस्थान का सामान्य ज्ञान,राजस्थान सामान्य परिचय,Forest Guard Exam 2022 Shift 1,2022,राजस्थान के निम्नलिखित जिलों को पूर्व से पश्चिम की ओर सही क्रम में व्यवस्थित करें –(i) जैसलमेर(ii) पाली(iii) अजमेर(iv) धौलपुरकूट –
