questionId,sourceQuestionId,currentTopic,correctMasterTopicId,correctMasterTopicName,mappingStatus,mappingReason
"Q-011","9659","मेवाड़ का गुहिल_गुहिलोत वंश",41,"मेवाड़ का गुहिल/गुहिलोत वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 41 (मेवाड़ का गुहिल/गुहिलोत वंश)."
"Q-012","9715","मेवाड़ का गुहिल_गुहिलोत वंश",41,"मेवाड़ का गुहिल/गुहिलोत वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 41 (मेवाड़ का गुहिल/गुहिलोत वंश)."
"Q-013","9907","मेवाड़ का गुहिल_गुहिलोत वंश",41,"मेवाड़ का गुहिल/गुहिलोत वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 41 (मेवाड़ का गुहिल/गुहिलोत वंश)."
"Q-014","9953","मेवाड़ का गुहिल_गुहिलोत वंश",41,"मेवाड़ का गुहिल/गुहिलोत वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 41 (मेवाड़ का गुहिल/गुहिलोत वंश)."
"Q-015","10141","मेवाड़ का गुहिल_गुहिलोत वंश",41,"मेवाड़ का गुहिल/गुहिलोत वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 41 (मेवाड़ का गुहिल/गुहिलोत वंश)."
"Q-016","10230","मेवाड़ का गुहिल_गुहिलोत वंश",41,"मेवाड़ का गुहिल/गुहिलोत वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 41 (मेवाड़ का गुहिल/गुहिलोत वंश)."
"Q-017","10326","मेवाड़ का गुहिल_गुहिलोत वंश",41,"मेवाड़ का गुहिल/गुहिलोत वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 41 (मेवाड़ का गुहिल/गुहिलोत वंश)."
"Q-018","10548","मेवाड़ का गुहिल_गुहिलोत वंश",41,"मेवाड़ का गुहिल/गुहिलोत वंश","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 41 (मेवाड़ का गुहिल/गुहिलोत वंश)."
"Q-019","14","राजस्थान का एकीकरण",54,"राजस्थान का एकीकरण","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 54 (राजस्थान का एकीकरण)."
"Q-020","92","राजस्थान का एकीकरण",54,"राजस्थान का एकीकरण","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 54 (राजस्थान का एकीकरण)."
"Q-021","263","राजस्थान का एकीकरण",54,"राजस्थान का एकीकरण","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 54 (राजस्थान का एकीकरण)."
"Q-022","327","राजस्थान का एकीकरण",54,"राजस्थान का एकीकरण","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 54 (राजस्थान का एकीकरण)."
"Q-023","442","राजस्थान का एकीकरण",54,"राजस्थान का एकीकरण","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 54 (राजस्थान का एकीकरण)."
"Q-024","561","राजस्थान का एकीकरण",54,"राजस्थान का एकीकरण","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 54 (राजस्थान का एकीकरण)."
"Q-025","11547","राजस्थान का परिवहन",18,"राजस्थान का परिवहन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 18 (राजस्थान का परिवहन)."
"Q-026","11568","राजस्थान का परिवहन",18,"राजस्थान का परिवहन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 18 (राजस्थान का परिवहन)."
"Q-027","11588","राजस्थान का परिवहन",18,"राजस्थान का परिवहन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 18 (राजस्थान का परिवहन)."
"Q-028","11609","राजस्थान का परिवहन",18,"राजस्थान का परिवहन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 18 (राजस्थान का परिवहन)."
"Q-029","11624","राजस्थान का परिवहन",18,"राजस्थान का परिवहन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 18 (राजस्थान का परिवहन)."
"Q-030","11643","राजस्थान का परिवहन",18,"राजस्थान का परिवहन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 18 (राजस्थान का परिवहन)."
"Q-031","5551","राजस्थान का पर्यटन",19,"राजस्थान का पर्यटन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 19 (राजस्थान का पर्यटन)."
"Q-032","5571","राजस्थान का पर्यटन",19,"राजस्थान का पर्यटन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 19 (राजस्थान का पर्यटन)."
"Q-033","5592","राजस्थान का पर्यटन",19,"राजस्थान का पर्यटन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 19 (राजस्थान का पर्यटन)."
"Q-034","5612","राजस्थान का पर्यटन",19,"राजस्थान का पर्यटन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 19 (राजस्थान का पर्यटन)."
"Q-035","5632","राजस्थान का पर्यटन",19,"राजस्थान का पर्यटन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 19 (राजस्थान का पर्यटन)."
"Q-036","5652","राजस्थान का पर्यटन",19,"राजस्थान का पर्यटन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 19 (राजस्थान का पर्यटन)."
"Q-037","5674","राजस्थान का पर्यटन",19,"राजस्थान का पर्यटन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 19 (राजस्थान का पर्यटन)."
"Q-038","5694","राजस्थान का पर्यटन",19,"राजस्थान का पर्यटन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 19 (राजस्थान का पर्यटन)."
"Q-039","5715","राजस्थान का पर्यटन",19,"राजस्थान का पर्यटन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 19 (राजस्थान का पर्यटन)."
"Q-040","5736","राजस्थान का पर्यटन",19,"राजस्थान का पर्यटन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 19 (राजस्थान का पर्यटन)."
"Q-041","5755","राजस्थान का पर्यटन",19,"राजस्थान का पर्यटन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 19 (राजस्थान का पर्यटन)."
"Q-042","5949","राजस्थान का पर्यटन",19,"राजस्थान का पर्यटन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 19 (राजस्थान का पर्यटन)."
"Q-043","1431","राजस्थान का पशुपालन",14,"राजस्थान का पशुपालन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 14 (राजस्थान का पशुपालन)."
"Q-044","1526","राजस्थान का पशुपालन",14,"राजस्थान का पशुपालन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 14 (राजस्थान का पशुपालन)."
"Q-045","1548","राजस्थान का पशुपालन",14,"राजस्थान का पशुपालन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 14 (राजस्थान का पशुपालन)."
"Q-046","1665","राजस्थान का पशुपालन",14,"राजस्थान का पशुपालन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 14 (राजस्थान का पशुपालन)."
"Q-047","1701","राजस्थान का पशुपालन",14,"राजस्थान का पशुपालन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 14 (राजस्थान का पशुपालन)."
"Q-048","1748","राजस्थान का पशुपालन",14,"राजस्थान का पशुपालन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 14 (राजस्थान का पशुपालन)."
"Q-049","1848","राजस्थान का पशुपालन",14,"राजस्थान का पशुपालन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 14 (राजस्थान का पशुपालन)."
"Q-050","1900","राजस्थान का पशुपालन",14,"राजस्थान का पशुपालन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 14 (राजस्थान का पशुपालन)."
"Q-051","1977","राजस्थान का पशुपालन",14,"राजस्थान का पशुपालन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 14 (राजस्थान का पशुपालन)."
"Q-052","2277","राजस्थान का पशुपालन",14,"राजस्थान का पशुपालन","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 14 (राजस्थान का पशुपालन)."
"Q-053","7130","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-054","7152","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-055","7178","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-056","7190","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-057","7210","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-058","7231","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-059","7253","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-060","7268","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-061","7289","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-062","7308","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-063","7329","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-064","7350","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-065","7371","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-066","7392","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-067","7413","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-068","7429","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-069","7450","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-070","7469","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-071","19549","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-072","19553","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-073","7523","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-074","19567","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-075","7745","राजस्थान का भौतिक स्वरूप एवं भूगोल",2,"राजस्थान का भौतिक स्वरूप एवं भूगोल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 2 (राजस्थान का भौतिक स्वरूप एवं भूगोल)."
"Q-076","7935","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-077","9686","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-078","9736","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-079","9788","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-080","9863","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-081","9885","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-082","9929","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-083","9967","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-084","10021","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-085","10070","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-086","10106","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-087","20096","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-088","10181","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-089","10222","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-090","20101","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-091","10274","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-092","10314","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-093","10339","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-094","20131","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-095","20142","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-096","10752","राजस्थान का राजपूत काल",40,"राजस्थान का राजपूत काल","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 40 (राजस्थान का राजपूत काल)."
"Q-097","15267","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-098","15330","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-099","15318","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-100","15354","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-101","15403","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-102","15414","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-103","15466","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-104","15489","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-105","15524","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-106","15570","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-107","15602","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-108","15632","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-109","15673","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-110","15914","राजस्थान का लोक संगीत एवं लोकगीत",30,"राजस्थान का लोक संगीत एवं लोकगीत","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 30 (राजस्थान का लोक संगीत एवं लोकगीत)."
"Q-111","13393","राजस्थान का सामान्य ज्ञान",1,"राजस्थान का सामान्य ज्ञान","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 1 (राजस्थान का सामान्य ज्ञान)."
"Q-112","13416","राजस्थान का सामान्य ज्ञान",1,"राजस्थान का सामान्य ज्ञान","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 1 (राजस्थान का सामान्य ज्ञान)."
"Q-113","13434","राजस्थान का सामान्य ज्ञान",1,"राजस्थान का सामान्य ज्ञान","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 1 (राजस्थान का सामान्य ज्ञान)."
"Q-114","13455","राजस्थान का सामान्य ज्ञान",1,"राजस्थान का सामान्य ज्ञान","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 1 (राजस्थान का सामान्य ज्ञान)."
"Q-115","13476","राजस्थान का सामान्य ज्ञान",1,"राजस्थान का सामान्य ज्ञान","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 1 (राजस्थान का सामान्य ज्ञान)."
"Q-116","13496","राजस्थान का सामान्य ज्ञान",1,"राजस्थान का सामान्य ज्ञान","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 1 (राजस्थान का सामान्य ज्ञान)."
"Q-117","13516","राजस्थान का सामान्य ज्ञान",1,"राजस्थान का सामान्य ज्ञान","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 1 (राजस्थान का सामान्य ज्ञान)."
"Q-118","13538","राजस्थान का सामान्य ज्ञान",1,"राजस्थान का सामान्य ज्ञान","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 1 (राजस्थान का सामान्य ज्ञान)."
"Q-119","13555","राजस्थान का सामान्य ज्ञान",1,"राजस्थान का सामान्य ज्ञान","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 1 (राजस्थान का सामान्य ज्ञान)."
"Q-120","13570","राजस्थान का सामान्य ज्ञान",1,"राजस्थान का सामान्य ज्ञान","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 1 (राजस्थान का सामान्य ज्ञान)."
"Q-121","13627","राजस्थान का सामान्य ज्ञान",1,"राजस्थान का सामान्य ज्ञान","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 1 (राजस्थान का सामान्य ज्ञान)."
"Q-122","1424","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
"Q-123","1451","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
"Q-124","1481","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
"Q-125","1501","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
"Q-126","1522","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
"Q-127","1583","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
"Q-128","1620","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
"Q-129","1641","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
"Q-130","1690","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
"Q-131","1719","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
"Q-132","1751","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
"Q-133","18786","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
"Q-134","1791","राजस्थान की कृषि",13,"राजस्थान की कृषि","CONFIDENT","Content verified: Primary examinable facts in questions align with Master Topic 13 (राजस्थान की कृषि)."
